nik,company,hire,termination,status
,PIT,2002-11-01,2025-06-05,Resign
,PIT,2025-04-08,2025-06-27,Resign
,SEA,2024-10-01,2025-06-30,Resign
,PIT,2024-07-01,2025-06-30,Resign
,PIT,2025-02-13,2025-07-04,Resign
,PIT,2023-02-01,2025-07-31,Resign
,PIT,2024-03-01,2025-07-31,Resign
,PIT,2024-11-04,2025-07-31,Resign
,PIT,2018-08-08,2025-07-31,Resign
,SEA,2024-09-05,2025-08-29,Resign
,PIT,2025-08-05,2025-09-01,Resign
,SPS,2025-08-15,2025-09-02,Resign
,PIT,2025-05-07,2025-09-30,Resign
,LSP,2025-01-06,2025-10-01,Resign
,SEA,2025-07-07,2025-10-01,Resign
,SEA,2025-07-01,2025-10-24,Resign
,PIT,2019-08-21,2025-11-01,Resign
,SEA,2025-10-01,2025-11-05,Resign
,SPS,2025-05-07,2025-11-07,Resign
,SPS,2024-07-14,2025-11-10,Resign
,SPS,2024-05-20,2025-11-10,Resign
,PIT,2024-11-21,2025-11-21,Resign
,PIT,2025-09-01,2025-12-01,Resign
,SEA,2021-06-02,2025-12-26,Resign
